127.0.0.1, 2024-01-09 11:45:07, GET, /, HTTP/1.1, 303, 0.109329
127.0.0.1, 2024-01-09 11:45:11, GET, /welcome/default/index, HTTP/1.1, 200, 4.974446
127.0.0.1, 2024-01-09 11:45:13, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000343
127.0.0.1, 2024-01-09 11:45:16, GET, /admin/default/site, HTTP/1.1, 303, 0.793522
127.0.0.1, 2024-01-09 11:45:18, GET, /admin/default/index, HTTP/1.1, 200, 1.967732
127.0.0.1, 2024-01-09 11:45:19, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2024-01-09 11:45:21, POST, /admin/default/index, HTTP/1.1, 303, 0.033922
127.0.0.1, 2024-01-09 11:45:21, GET, /admin/default/site, HTTP/1.1, 200, 0.140898
127.0.0.1, 2024-01-09 11:45:22, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2024-01-09 11:45:22, POST, /admin/default/check_version, HTTP/1.1, 200, 0.586536
127.0.0.1, 2024-01-09 11:51:00, GET, /, HTTP/1.1, 303, 0.000000
127.0.0.1, 2024-01-09 11:51:01, GET, /welcome/default/index, HTTP/1.1, 200, 0.160447
127.0.0.1, 2024-01-09 11:51:01, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.001000
127.0.0.1, 2024-01-09 11:51:03, GET, /admin/default/site, HTTP/1.1, 200, 0.080513
127.0.0.1, 2024-01-09 11:51:04, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2024-01-09 11:51:11, GET, /admin/default/design/sistemaGestionEscolar, HTTP/1.1, 200, 4.930426
127.0.0.1, 2024-01-09 11:51:12, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2024-01-09 11:51:23, GET, /admin/default/peek/sistemaGestionEscolar/views/estudiante_controlador/estudiante.html, HTTP/1.1, 200, 0.155546
127.0.0.1, 2024-01-09 11:51:23, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2024-01-09 11:51:25, GET, /admin/default/edit/sistemaGestionEscolar/views/estudiante_controlador/estudiante.html, HTTP/1.1, 200, 0.434629
127.0.0.1, 2024-01-09 11:51:26, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2024-01-09 11:51:26, GET, /admin/default/edit/sistemaGestionEscolar/views/estudiante_controlador/estudiante.html, HTTP/1.1, 200, 0.644537
127.0.0.1, 2024-01-09 11:51:28, GET, /admin/default/files_menu, HTTP/1.1, 200, 2.163136
127.0.0.1, 2024-01-09 11:51:28, GET, /admin/default/todolist.load, HTTP/1.1, 200, 2.579962
127.0.0.1, 2024-01-09 11:51:28, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 2.097253
127.0.0.1, 2024-01-09 11:51:29, GET, /sistemaGestionEscolar/appadmin/hooks, HTTP/1.1, 404, 3.177350
127.0.0.1, 2024-01-09 11:51:29, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 2.697082
127.0.0.1, 2024-01-09 11:51:34, GET, /sistemaGestionEscolar/estudiante_controlador/estudiante, HTTP/1.1, 200, 1.803162
127.0.0.1, 2024-01-09 11:51:35, GET, /sistemaGestionEscolar/static/js/repository.js, HTTP/1.1, 304, 0.275867
127.0.0.1, 2024-01-09 11:51:35, GET, /sistemaGestionEscolar/static/js/estudiantes.js, HTTP/1.1, 304, 0.175241
